


Constant Name   Base Length     Height          Calculated Pi        Pi Difference        Calculated GR        GR Difference       
π               0.0693          0.0441          3.1416011421         0.0000084885         1.6189904811         0.0009564923        
π               0.0931          0.0593          3.1415841083         0.0000085453         1.6189959103         0.0009619215        
π               0.0613          0.0391          3.1415840824         0.0000085712         1.6189959185         0.0009619298        
π               0.0515          0.0328          3.1416012942         0.0000086406         1.6189904326         0.0009564438        
π               0.0296          0.0189          3.1415840008         0.0000086527         1.6189959445         0.0009619558        
π               0.0836          0.0532          3.1416013974         0.0000087438         1.6189903997         0.0009564109        
π               0.0754          0.0480          3.1415838904         0.0000087632         1.6189959797         0.0009619910        
π               0.0895          0.0570          3.1415837588         0.0000088948         1.6189960217         0.0009620329        
π               0.0979          0.0624          3.1416015782         0.0000089246         1.6189903421         0.0009563533        
π               0.0658          0.0419          3.1416015858         0.0000089322         1.6189903396         0.0009563509        
π               0.0336          0.0214          3.1416016082         0.0000089546         1.6189903325         0.0009563438        
π               0.0437          0.0278          3.1415836958         0.0000089578         1.6189960418         0.0009620530        
π               0.0578          0.0368          3.1415835395         0.0000091141         1.6189960916         0.0009621028        
π               0.0801          0.0510          3.1416017732         0.0000091196         1.6189902799         0.0009562912        
π               0.0719          0.0458          3.1415834444         0.0000092092         1.6189961219         0.0009621331        
π               0.0944          0.0601          3.1416019038         0.0000092502         1.6189902383         0.0009562495        
π               0.0479          0.0305          3.1416019147         0.0000092611         1.6189902348         0.0009562461        
π               0.0860          0.0547          3.1415833805         0.0000092731         1.6189961422         0.0009621535        
π               0.0622          0.0396          3.1416020802         0.0000094266         1.6189901820         0.0009561933        
π               0.0765          0.0487          3.1416021839         0.0000095303         1.6189901490         0.0009561603        
π               0.0908          0.0578          3.1416022548         0.0000096013         1.6189901264         0.0009561376        
π               0.0965          0.0614          3.1415829820         0.0000096715         1.6189962692         0.0009622805        
π               0.0824          0.0525          3.1415829696         0.0000096839         1.6189962732         0.0009622845        
π               0.0683          0.0435          3.1415829521         0.0000097015         1.6189962788         0.0009622900        
π               0.0542          0.0345          3.1415829255         0.0000097281         1.6189962873         0.0009622985        
π               0.0402          0.0256          3.1415828802         0.0000097734         1.6189963017         0.0009623130        
π               0.0261          0.0166          3.1415827858         0.0000098677         1.6189963318         0.0009623430        
π               0.0873          0.0556          3.1416026345         0.0000099809         1.6189900054         0.0009560166        
π               0.0730          0.0465          3.1416026345         0.0000099809         1.6189900054         0.0009560166        
π               0.0157          0.0100          3.1416026345         0.0000099809         1.6189900054         0.0009560166        
π               0.0301          0.0191          3.1416026345         0.0000099809         1.6189900054         0.0009560166        
π               0.0014          0.0009          3.1416026345         0.0000099809         1.6189900054         0.0009560166        
π               0.0444          0.0282          3.1416026345         0.0000099809         1.6189900054         0.0009560166        
π               0.0587          0.0374          3.1416026345         0.0000099809         1.6189900054         0.0009560166        
π               0.0930          0.0592          3.1415826025         0.0000100511         1.6189963902         0.0009624015        
π               0.0789          0.0502          3.1415825218         0.0000101318         1.6189964160         0.0009624272        
π               0.0120          0.0076          3.1415824695         0.0000101841         1.6189964326         0.0009624439        
π               0.0648          0.0412          3.1415824059         0.0000102477         1.6189964529         0.0009624641        
π               0.0981          0.0624          3.1416029862         0.0000103326         1.6189898933         0.0009559045        
π               0.0837          0.0533          3.1416030463         0.0000103927         1.6189898741         0.0009558854        
π               0.0507          0.0323          3.1415822255         0.0000104281         1.6189965104         0.0009625216        
π               0.0894          0.0569          3.1415821929         0.0000104607         1.6189965208         0.0009625320        
π               0.0694          0.0442          3.1416031312         0.0000104776         1.6189898471         0.0009558583        
π               0.0551          0.0351          3.1416032601         0.0000106065         1.6189898060         0.0009558172        
π               0.0753          0.0480          3.1415820317         0.0000106219         1.6189965722         0.0009625834        
π               0.0945          0.0602          3.1416033643         0.0000107107         1.6189897728         0.0009557840        
π               0.1000          0.0636          3.1415819333         0.0000107203         1.6189966035         0.0009626148        
π               0.0366          0.0233          3.1415819064         0.0000107472         1.6189966121         0.0009626234        
π               0.0408          0.0260          3.1416034795         0.0000108259         1.6189897361         0.0009557473        
π               0.0802          0.0511          3.1416034945         0.0000108410         1.6189897313         0.0009557425        
π               0.0612          0.0390          3.1415817963         0.0000108573         1.6189966472         0.0009626584        
π               0.0859          0.0547          3.1415817493         0.0000109043         1.6189966622         0.0009626734        
π               0.0659          0.0419          3.1416036814         0.0000110278         1.6189896717         0.0009556830        
π               0.0910          0.0579          3.1416037720         0.0000111184         1.6189896428         0.0009556541        
π               0.0964          0.0614          3.1415815287         0.0000111249         1.6189967325         0.0009627437        
π               0.0718          0.0457          3.1415814931         0.0000111605         1.6189967438         0.0009627551        
π               0.0471          0.0300          3.1415814201         0.0000112334         1.6189967671         0.0009627783        
π               0.0265          0.0169          3.1416039357         0.0000112822         1.6189895906         0.0009556019        
π               0.0516          0.0328          3.1416039719         0.0000113183         1.6189895791         0.0009555904        
π               0.0766          0.0488          3.1416039843         0.0000113308         1.6189895752         0.0009555864        
π               0.0823          0.0524          3.1415812675         0.0000113861         1.6189968157         0.0009628270        
π               0.0225          0.0143          3.1415811876         0.0000114660         1.6189968412         0.0009628524        
π               0.0577          0.0367          3.1415811116         0.0000115420         1.6189968654         0.0009628767        
π               0.0874          0.0556          3.1416042127         0.0000115591         1.6189895024         0.0009555136        
π               0.0929          0.0591          3.1415810932         0.0000115604         1.6189968713         0.0009628825        
π               0.0623          0.0397          3.1416042942         0.0000116407         1.6189894764         0.0009554876        
π               0.0982          0.0625          3.1416043910         0.0000117374         1.6189894455         0.0009554568        
π               0.0682          0.0434          3.1415808984         0.0000117552         1.6189969334         0.0009629446        
π               0.0373          0.0237          3.1416044855         0.0000118319         1.6189894154         0.0009554267        
π               0.0731          0.0465          3.1416045217         0.0000118681         1.6189894039         0.0009554151        
π               0.0788          0.0501          3.1415807423         0.0000119113         1.6189969831         0.0009629944        
π               0.0331          0.0210          3.1415807233         0.0000119302         1.6189969892         0.0009630004        
π               0.0893          0.0569          3.1415806230         0.0000120306         1.6189970211         0.0009630324        
π               0.0839          0.0534          3.1416046908         0.0000120372         1.6189893500         0.0009553612        
π               0.0998          0.0636          3.1415805289         0.0000121246         1.6189970511         0.0009630624        
π               0.0480          0.0306          3.1416047889         0.0000121353         1.6189893187         0.0009553300        
π               0.0946          0.0602          3.1416048214         0.0000121678         1.6189893083         0.0009553196        
π               0.0436          0.0278          3.1415804836         0.0000121700         1.6189970656         0.0009630768        
π               0.0541          0.0345          3.1415803372         0.0000123164         1.6189971123         0.0009631235        
π               0.0588          0.0374          3.1416049812         0.0000123276         1.6189892574         0.0009552687        
π               0.0647          0.0412          3.1415802385         0.0000124151         1.6189971437         0.0009631550        
π               0.0695          0.0443          3.1416051140         0.0000124604         1.6189892151         0.0009552264        
π               0.0752          0.0479          3.1415801675         0.0000124861         1.6189971663         0.0009631776        
π               0.0858          0.0546          3.1415801139         0.0000125397         1.6189971834         0.0009631947        
π               0.0803          0.0511          3.1416052112         0.0000125576         1.6189891841         0.0009551954        
π               0.0963          0.0613          3.1415800721         0.0000125815         1.6189971967         0.0009632080        
π               0.0911          0.0580          3.1416052854         0.0000126318         1.6189891605         0.0009551717        
π               0.0122          0.0078          3.1416054632         0.0000128096         1.6189891038         0.0009551150        
π               0.0230          0.0146          3.1416056396         0.0000129860         1.6189890476         0.0009550588        
π               0.0337          0.0215          3.1416057034         0.0000130498         1.6189890272         0.0009550385        
π               0.0927          0.0590          3.1415795803         0.0000130733         1.6189973535         0.0009633648        
π               0.0445          0.0283          3.1416057363         0.0000130827         1.6189890168         0.0009550280        
π               0.0822          0.0523          3.1415795609         0.0000130927         1.6189973597         0.0009633709        
π               0.0552          0.0352          3.1416057564         0.0000131028         1.6189890104         0.0009550216        
π               0.0660          0.0420          3.1416057699         0.0000131163         1.6189890060         0.0009550173        
π               0.0717          0.0456          3.1415795357         0.0000131178         1.6189973677         0.0009633790        
π               0.0768          0.0489          3.1416057797         0.0000131261         1.6189890029         0.0009550142        
π               0.0875          0.0557          3.1416057870         0.0000131334         1.6189890006         0.0009550118        
π               0.0983          0.0626          3.1416057927         0.0000131392         1.6189889988         0.0009550100        
π               0.0611          0.0389          3.1415795019         0.0000131516         1.6189973785         0.0009633897        
π               0.0506          0.0322          3.1415794541         0.0000131995         1.6189973937         0.0009634050        
